id_puesto;idzona_puesto;num_puesto;nombre_puesto;estado_puesto
1;1;01;I.E.D. LICEO DEL SUR VICTOR DE LIMA;1
2;1;02;IED LIC DEL SUR VICTOR DE LIMA SD 2 M.M;1
3;1;03;I.E.D JACQUELINE KENNEDY;1
4;1;04;IED JACQUELINE KENNEDY SD 2 PRE LA CAND.;1
5;1;05;IED JACQUELINE KENNEDY SD 4 PRIM DE MAYO;1
6;1;06;IED JACQUELINE KENNEDY SD 5 MARIA EUG.;1
7;1;07;IED LIC DEL SUR VICTOR DE LIMA SD03 CTR;1
8;1;08;IED NUEVO AMANECER CON DIOS SD 01;1
9;1;09;IED TECNICA INEM SIMON BOLIVAR SD 02;1
10;1;10;IED SD03 ESC MIXTA ONCE DE NOVIEMBRE N:1;1
11;2;01;I.E.D.EL PANDO;1
12;2;02;IED EL PANDO SEDE 2 JOSE CELEDON GARCIA;1
13;2;03;I.E.D.EL PARQUE;1
14;2;04;I.E.D LIBANO;1
15;2;05;I.E.D.SAN FCO.JAVIER DE GARAGO;1
16;2;06;UNIVERSIDAD ANTONIO NARIÑO;1
17;2;07;UNIVERSIDAD DEL MAGDALENA;1
18;2;08;IED ONCE DE NOVIEMBRE;1
19;2;09;IED EL LIBANO SEDE 02;1
20;2;10;IED 20 DE OCTUBRE SEDE 1;1
21;3;01;I.E.D. NORMAL SUPERIOR SAN PEDRO;1
22;3;02;IED JUAN MAIGUEL DE OSUNA;1
23;3;03;I.E.D.ALUNA MEGA COLEGIO CISNE;1
24;3;04;IED PEDAG. DEL CARIBE SD CIUDAD EQUIDAD;1
25;3;05;IED SIMON RODRIGUEZ SEDE 01;1
26;4;01;I.E.D.HUGO J. BERMUDEZ;1
27;4;02;I.E.D.HUGO J.BERMUDEZ S.LA.ESP;1
28;4;03;I.E.D.LICEO SAMARIO;1
29;4;04;IED ANTONIO NARIÑO SEDE 1;1
30;5;01;LICEO SAMARIO SD.2 BAV.BOSTON;1
31;5;02;IED LICEO CELEDON;1
32;5;03;IED LA INDUSTRIAL;1
33;5;04;I.E.D.FCO.DE PAULA SANTANDER;1
34;5;05;I.E.D.MAGDALENA;1
35;5;06;IED MAGD SEDE 3 ESCUELA SAN JOSE;1
36;5;07;IED LICEO EL SABER;1
37;5;08;IED MAGDALENA SEDE 2 SANTA CATALINA;1
38;6;01;I.E.D. RODRIGO BASTIDAS;1
39;6;02;HOGAR INFANTIL BASTIDAS;1
40;6;03;IED RODRIGO DE BASTIDAS SD 17 DE DIC;1
41;6;04;I.E.D.NICOLAS BUENAVENTURA;1
42;6;05;I.E.D. ONDAS DEL CARIBE;1
43;6;06;I.E.D LAURA VICUÑA;1
44;6;07;I.E.D.ESC.NORMAL SUP.MARIA AUX;1
45;6;08;IED EL CARMEN;1
46;6;09;IED RODRIGO GALVAN DE BASTIDAS;1
47;6;10;IED PANTANO SEDE 01;1
48;7;01;I.E.D.MADRE LAURA;1
49;7;02;I.E.D.LICEO DEL NORTE;1
50;7;03;I.E.D. ALFONSO LOPEZ;1
51;7;04;IED JHON F KENNEDY;1
52;7;05;IED LICEO DEL NORTE SEDE 2 MIXTA No 3;1
53;7;06;IED SAN FERNANDO SEDE 01;1
54;7;07;IED OLIVOS SEDE 01;1
55;7;08;IED OLIVOS SEDE 02 JUAN XXIII;1
56;7;09;IED 20 DE JULIO;1
57;8;01;I.E.D.JOSE LABORDE GNECCO;1
58;8;02;I.E.D CAMILO TORRES DE GAIRA;1
59;8;03;IED CAMILO TORRES DE GAIRA SD ISABEL P.F;1
60;8;04;I.E.D.LA PAZ, MEGA COL. LA PAZ;1
61;8;05;IED CRISTO REY;1
