dd;mm;zz;pp;departamento;municipio;puesto;mujeres;hombres;total;mesas;comuna;direcci¢n
21;001;01;01;MAGDALENA;SANTA MARTA;I.E.D. LICEO DEL SUR VICTOR DE LIMA;3604;3026;6630;20;01LOC.1TAYRONA S.PEDRO ALEJANDR;CALLE 32 No 2-17
21;001;01;02;MAGDALENA;SANTA MARTA;IED LIC DEL SUR VICTOR DE LIMA SD 2 M.M;2348;3257;5605;17;01LOC.1TAYRONA S.PEDRO ALEJANDR;CALLE 30 No 4-36
21;001;01;03;MAGDALENA;SANTA MARTA;I.E.D JACQUELINE KENNEDY;5561;3945;9506;28;01LOC.1TAYRONA S.PEDRO ALEJANDR;CARRERA 16 CALLE 35 B ESQUINA MARIA EUGENIA
21;001;01;04;MAGDALENA;SANTA MARTA;IED JACQUELINE KENNEDY SD 2 PRE LA CAND.;1025;1858;2883;9;01LOC.1TAYRONA S.PEDRO ALEJANDR;CALLE 35 CON CARRERA 16 EQUINA B. MARIA EUGENIA
21;001;01;05;MAGDALENA;SANTA MARTA;IED JACQUELINE KENNEDY SD 4 PRIM DE MAYO;2571;2450;5021;15;01LOC.1TAYRONA S.PEDRO ALEJANDR;CALLE 33 CARRERA 16 ANTIGUO IPC
21;001;01;06;MAGDALENA;SANTA MARTA;IED JACQUELINE KENNEDY SD 5 MARIA EUG.;1004;892;1896;6;01LOC.1TAYRONA S.PEDRO ALEJANDR;CRA 15 No 37 - 41
21;001;01;07;MAGDALENA;SANTA MARTA;IED LIC DEL SUR VICTOR DE LIMA SD03 CTR;31;21;52;1;01LOC.1TAYRONA S.PEDRO ALEJANDR;KR 5 35 01
21;001;01;08;MAGDALENA;SANTA MARTA;IED NUEVO AMANECER CON DIOS SD 01;29;33;62;1;01LOC.1TAYRONA S.PEDRO ALEJANDR;KR 78 A 27 72
21;001;01;09;MAGDALENA;SANTA MARTA;IED TêCNICA INEM SIMON BOLIVAR SD 02;49;59;108;1;01LOC.1TAYRONA S.PEDRO ALEJANDR;CL 29 C 24 10
21;001;01;10;MAGDALENA;SANTA MARTA;IED SD03 ESC MIXTA ONCE DE NOVIEMBRE N:1;129;134;263;1;01LOC.1TAYRONA S.PEDRO ALEJANDR;CARRERA 68 N:36-08
